NoFib Results

--------------------------------------------------------------------------------
        Program         Allocs    Instrs
   cryptarithm2                1.000             0.0%
            cse                1.000             0.0%
   digits-of-e1                1.000             0.0%
   digits-of-e2                1.000             0.0%
          eliza                1.000             0.0%
          event                1.000             0.0%
    exact-reals                1.000             0.0%
         exp3_8                1.000             0.0%
         expert                1.000             0.0%
 fannkuch-redux                1.000             0.0%
          fasta                1.000             0.0%
            fem                1.000             0.0%
            fft                1.000             0.0%
           fft2                1.000             0.0%
       fibheaps                1.000             0.0%
           fish                1.000             0.0%
          fluid                1.000             0.0%
         fulsom                1.000             0.0%
         gamteb                1.000             0.0%
            gcd                1.000             0.0%
    gen_regexps                1.000             0.0%
         genfft                1.000             0.0%
             gg                1.000             0.0%
           grep                1.000             0.0%
         hidden                1.000             0.0%
            hpg                1.000             0.0%
            ida                1.000             0.0%
          infer                1.000             0.0%
        integer                1.000             0.0%
      integrate                1.000             0.0%
   k-nucleotide                1.000             0.0%
          kahan                1.000             0.0%
        knights                1.000             0.0%
         lambda                1.000             0.0%
     last-piece                1.000             0.0%
           lcss                1.000             0.0%
           life                1.000             0.0%
           lift                1.000             0.0%
         linear                1.000             0.0%
      listcompr                1.000             0.0%
       listcopy                1.000             0.0%
       maillist                1.000             0.0%
         mandel                1.000             0.0%
        mandel2                1.000             0.0%
           mate                1.000             0.0%
        minimax                1.000             0.0%
        mkhprog                1.000             0.0%
     multiplier                1.000             0.0%
         n-body                1.000             0.0%
       nucleic2                1.000             0.0%
           para                1.000             0.0%
      paraffins                1.000             0.0%
         parser                1.000             0.0%
        parstof                1.000             0.0%
            pic                1.000             0.0%
       pidigits                1.000             0.0%
          power                1.000             0.0%
         pretty                1.000             0.0%
         primes                1.000             0.0%
      primetest                1.000             0.0%
         prolog                1.000             0.0%
         puzzle                1.000             0.0%
         queens                1.000             0.0%
        reptile                1.000             0.0%
reverse-complem                1.000             0.0%
        rewrite                1.000             0.0%
           rfib                1.000             0.0%
            rsa                1.000             0.0%
            scc                1.000             0.0%
          sched                1.000             0.0%
            scs                1.000             0.0%
         simple                1.000             0.0%
          solid                1.000             0.0%
        sorting                1.000             0.0%
  spectral-norm                1.000             0.0%
         sphere                1.000             0.0%
         symalg                1.000             0.0%
            tak                1.000             0.0%
      transform                1.000             0.0%
       treejoin                1.000             0.0%
      typecheck                1.000             0.0%
        veritas                1.000             0.0%
           wang                1.000             0.0%
      wave4main                1.000             0.0%
   wheel-sieve1                1.000             0.0%
   wheel-sieve2                1.000             0.0%
           x2n1                1.000             0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            -0.0%

Instructions

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS           1495110409            +0.0%
            CSD           3855197673            +0.0%
             FS           2837267993            +0.0%
              S           4443703748            +0.0%
             VS           8781705823             0.0%
            VSD             90690612            +0.0%
            VSM           7286574324            +0.0%
           anna            279427470            +0.0%
           ansi               773310            +0.1%
           atom           1050375388            +0.0%
         awards              1110261            +0.1%
         banner               984135            +0.1%
     bernouilli            667692838            +0.0%
   binary-trees           4009699646            +0.0%
          boyer            131409873            +0.0%
         boyer2             21761845            +0.0%
           bspt             20536402            +0.0%
       calendar              1487305            +0.1%
       cichelli            327589541            +0.0%
        circsim           2589444087            +0.0%
       clausify            119524718            +0.0%
  comp_lab_zift            646474192            +0.0%
       compress            627795804            +0.0%
      compress2            524551664            +0.0%
    constraints          10075666610            +0.0%
   cryptarithm1           2845690709            +0.0%
   cryptarithm2             27410393            +0.0%
            cse              3778893            +0.0%
   digits-of-e1           2928218492            -0.0%
   digits-of-e2           4325614332            +0.0%
          eliza              1894330            +0.0%
          event            550862312            +0.0%
    exact-reals          11659944650             0.0%
         exp3_8            936931905            +0.0%
         expert              1334867            +0.0%
 fannkuch-redux          21818784488            +0.0%
          fasta            928106435            +0.0%
            fem             73485130            +0.0%
            fft            111138818            +0.0%
           fft2            163666670            +0.0%
       fibheaps             77940363            +0.0%
           fish             28917188            +0.0%
          fluid             15576978            +0.0%
         fulsom            780748148            +0.0%
         gamteb            118202381            +0.0%
            gcd            151428331            +0.0%
    gen_regexps              1307341            +0.0%
         genfft            120041052            +0.0%
             gg             33989999            +0.0%
           grep               708925            +0.1%
         hidden           1513853034            +0.0%
            hpg            161966839            +0.0%
            ida            245279946            +0.0%
          infer            216548209            +0.0%
        integer           8988856589            +0.0%
      integrate            281003045            +0.0%
   k-nucleotide          21924137957            +0.0%
          kahan           1247132312            +0.0%
        knights             12805424            +0.0%
         lambda           5822645578            +0.0%
     last-piece           1951840281            +0.0%
           lcss           1648601653            +0.0%
           life            949000487            +0.0%
           lift              1940199            +0.0%
         linear           8551904442            +0.0%
      listcompr            347215190            +0.0%
       listcopy            378261274            +0.0%
       maillist             46816240            +0.0%
         mandel            272704894            +0.0%
        mandel2              7355316            +0.0%
           mate          16216621542            +0.0%
        minimax              8641963            +0.0%
        mkhprog              5195475            +0.0%
     multiplier            350779923            +0.0%
         n-body           3750830973            +0.0%
       nucleic2            185698504            +0.0%
           para           1040635690            +0.0%
      paraffins            455702131            +0.0%
         parser             80715832            +0.0%
        parstof             13372598            +0.0%
            pic             14974797            +0.0%
       pidigits           2404767966            +0.0%
          power           1402208409            +0.0%
         pretty               800973            +0.1%
         primes            259581518            +0.0%
      primetest            454856536            +0.0%
         prolog              3743164            +0.0%
         puzzle            425598548            +0.0%
         queens             53688051            +0.0%
        reptile             33851365            +0.0%
reverse-complem            436452054            +0.0%
        rewrite             54823974            +0.0%
           rfib             43847642            +0.0%
            rsa            105768562            +0.0%
            scc               723155            +0.1%
          sched             60102862            +0.0%
            scs           1895264315            +0.0%
         simple            631889685            +0.0%
          solid            451579915            +0.0%
        sorting              4207118            +0.0%
  spectral-norm           6662067971            +0.0%
         sphere            158864833            +0.0%
         symalg             33430530            +0.0%
            tak             34387621            +0.0%
      transform           1087904089            +0.0%
       treejoin            426838564            +0.0%
      typecheck            734205177            +0.0%
        veritas              2887656            +0.0%
           wang            336926751            +0.0%
      wave4main            912700385            +0.0%
   wheel-sieve1           1244211142            -0.0%
   wheel-sieve2            659280340            +0.0%
           x2n1              7281434            +0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            +0.0%

Memory Reads

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS            279201972            +0.0%
            CSD            891223679             0.0%
             FS            469453528            +0.0%
              S           1282504490            +0.0%
             VS           2067397161            +0.0%
            VSD             10174695            +0.0%
            VSM           1647348249            +0.0%
           anna             66984710            +0.0%
           ansi               193995            +0.0%
           atom            249330221            +0.0%
         awards               258188            +0.0%
         banner               240724            +0.1%
     bernouilli            161730144            +0.0%
   binary-trees            816437851            +0.0%
          boyer             31521923            +0.0%
         boyer2              5037212            -0.0%
           bspt              4861933            +0.0%
       calendar               340926            +0.0%
       cichelli             82837834            +0.0%
        circsim            648546567            +0.0%
       clausify             23084581            +0.0%
  comp_lab_zift            152163636            +0.0%
       compress            159303455            +0.0%
      compress2            138344500            +0.0%
    constraints           2588540428            +0.0%
   cryptarithm1            603704333            +0.0%
   cryptarithm2              6271029            +0.0%
            cse               930746            +0.0%
   digits-of-e1            503743930            -0.0%
   digits-of-e2            939726104            +0.0%
          eliza               419276            +0.0%
          event            137522208            +0.0%
    exact-reals           2125717260             0.0%
         exp3_8            182164135            +0.0%
         expert               327228            +0.0%
 fannkuch-redux           5726034491             0.0%
          fasta            185103008            +0.0%
            fem             16290203            +0.0%
            fft             28144017            +0.0%
           fft2             39160690            +0.0%
       fibheaps             18877958            +0.0%
           fish              7000032            +0.0%
          fluid              3439404            +0.0%
         fulsom            197461311            +0.0%
         gamteb             26217927            +0.0%
            gcd             28618807            +0.0%
    gen_regexps               266028            +0.0%
         genfft             27927858            +0.0%
             gg              8282125            +0.0%
           grep               179434            +0.1%
         hidden            326350870            +0.0%
            hpg             38915845            +0.0%
            ida             59430072            +0.0%
          infer             57039804            +0.0%
        integer           1747809679            +0.0%
      integrate             77000986            +0.0%
   k-nucleotide           5238674380             0.0%
          kahan            252511362            +0.0%
        knights              3459945            +0.0%
         lambda           1533200177            +0.0%
     last-piece            479230308            +0.0%
           lcss            424626087            +0.0%
           life            241296335            +0.0%
           lift               465662            +0.0%
         linear           1671912109            +0.0%
      listcompr             75371296            +0.0%
       listcopy             81383812            +0.0%
       maillist             11482915            +0.0%
         mandel             44311510            +0.0%
        mandel2               949023            +0.0%
           mate           4312723859             0.0%
        minimax              1871639            +0.0%
        mkhprog              1197215            +0.0%
     multiplier             82503965            +0.0%
         n-body            925196643            +0.0%
       nucleic2             61305554            +0.0%
           para            247114190            +0.0%
      paraffins            116654023            +0.0%
         parser             19394357            +0.0%
        parstof              3315210            +0.0%
            pic              3893860            +0.0%
       pidigits            561766414            +0.0%
          power            340684562            +0.0%
         pretty               198989            +0.1%
         primes             56698596            +0.0%
      primetest             95567719            +0.0%
         prolog               836381            +0.0%
         puzzle            125519149            +0.0%
         queens              9989805            +0.0%
        reptile              8068792            +0.0%
reverse-complem            113617722            +0.0%
        rewrite             11067911            +0.0%
           rfib             13646208            +0.0%
            rsa             21604579            +0.0%
            scc               182774            +0.1%
          sched             13475217            +0.0%
            scs            459622010            +0.0%
         simple            172513893            +0.0%
          solid            114109498            +0.0%
        sorting              1009033            +0.0%
  spectral-norm           1260202443             0.0%
         sphere             41517942            +0.0%
         symalg              9220424            +0.0%
            tak              7039184            +0.0%
      transform            249104647            +0.0%
       treejoin             98671322            +0.0%
      typecheck            169355115            +0.0%
        veritas               691314            +0.0%
           wang             87924474            +0.0%
      wave4main            258257455            +0.0%
   wheel-sieve1            263934941            -0.0%
   wheel-sieve2            165296133            +0.0%
           x2n1               783353            +0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            +0.0%

Memory Writes

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS            222935988            +0.0%
            CSD            386993109            -0.0%
             FS            496154907             0.0%
              S            584364363             0.0%
             VS            953593999             0.0%
            VSD                84495             0.0%
            VSM            801650114             0.0%
           anna             46138425            -0.0%
           ansi                99875            +0.0%
           atom            182203741            -0.0%
         awards               163150            +0.0%
         banner               139166            +0.0%
     bernouilli             83131979            +0.0%
   binary-trees            660384279             0.0%
          boyer             24127855            +0.0%
         boyer2              3728822            -0.0%
           bspt              3665530            +0.0%
       calendar               252405            +0.0%
       cichelli             60827228            +0.0%
        circsim            486291517            +0.0%
       clausify             19451585            +0.0%
  comp_lab_zift            112393049            +0.0%
       compress            149990222            -0.0%
      compress2             86063852             0.0%
    constraints           1494248997            +0.0%
   cryptarithm1            604429129             0.0%
   cryptarithm2              5424766            -0.0%
            cse               571801            +0.0%
   digits-of-e1            427178726            -0.0%
   digits-of-e2            576630849             0.0%
          eliza               281098            -0.0%
          event             82310376            +0.0%
    exact-reals           1349834185            -0.0%
         exp3_8            115351516             0.0%
         expert               197295            -0.0%
 fannkuch-redux           5024262502             0.0%
          fasta            136189695            +0.0%
            fem             13920013            +0.0%
            fft             16557393            +0.0%
           fft2             25498843            +0.0%
       fibheaps             16011436            +0.0%
           fish              5518739            +0.0%
          fluid              2673470            -0.0%
         fulsom            125958206            +0.0%
         gamteb             19857592            -0.0%
            gcd             24472200            -0.0%
    gen_regexps               172911            +0.0%
         genfft             21044394            -0.0%
             gg              5655612            +0.0%
           grep                87281            +0.0%
         hidden            311311734             0.0%
            hpg             29319243            +0.0%
            ida             47592278            +0.0%
          infer             36650522            -0.0%
        integer           1433872404             0.0%
      integrate             57395837            +0.0%
   k-nucleotide           4277667654             0.0%
          kahan            201490216            +0.0%
        knights              2140925            -0.0%
         lambda            832851398            +0.0%
     last-piece            399993204            -0.0%
           lcss            262905359            +0.0%
           life            180705038            +0.0%
           lift               301971            +0.0%
         linear           1339432364             0.0%
      listcompr             73478248            +0.0%
       listcopy             79871538            +0.0%
       maillist              8152968            +0.0%
         mandel             44353667            -0.0%
        mandel2               501190            +0.0%
           mate           3898583901             0.0%
        minimax              1701015            +0.0%
        mkhprog               975960            +0.0%
     multiplier             63817621             0.0%
         n-body            395108889            +0.0%
       nucleic2             48425614            +0.0%
           para            179389373             0.0%
      paraffins             64768479            +0.0%
         parser             13685093            -0.0%
        parstof              2029112            -0.0%
            pic              2360848            +0.0%
       pidigits            418229159             0.0%
          power            198523300            +0.0%
         pretty               106999            +0.0%
         primes             33881758             0.0%
      primetest             44077232             0.0%
         prolog               648733            +0.0%
         puzzle             83265416            -0.0%
         queens              8878765            +0.0%
        reptile              5898447            +0.0%
reverse-complem             71833006            +0.0%
        rewrite              9334454            +0.0%
           rfib              5483061            -0.0%
            rsa             11349860            -0.0%
            scc                90339            +0.0%
          sched             12877204            -0.0%
            scs            331912072            +0.0%
         simple             98024784            +0.0%
          solid             80781187            +0.0%
        sorting               660513            +0.0%
  spectral-norm            540229634             0.0%
         sphere             34268772            +0.0%
         symalg              2561288            -0.0%
            tak              5077297            +0.0%
      transform            209963517            +0.0%
       treejoin             60916155            +0.0%
      typecheck            131381493            +0.0%
        veritas               490319            +0.0%
           wang             52612203            +0.0%
      wave4main            129375690            +0.0%
   wheel-sieve1            178278854            -0.0%
   wheel-sieve2             93838919            +0.0%
           x2n1               479660            -0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            +0.0%

Cache Misses

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS                27481            +0.0%
            CSD                29086            +0.0%
             FS                23510            +0.0%
              S             16834799            +0.0%
             VS              4382628            +0.0%
            VSD                 7091            +0.1%
            VSM                23540            +0.0%
           anna                58602            +0.0%
           ansi                 7807            +0.1%
           atom                40296            +0.0%
         awards                10655            +0.1%
         banner                10372            +0.0%
     bernouilli                55184            +0.0%
   binary-trees              6211350            +0.0%
          boyer                54750            +0.0%
         boyer2                33008            +0.0%
           bspt                35008            +0.0%
       calendar                18721            +0.0%
       cichelli               174651            +0.0%
        circsim             14666579            +0.0%
       clausify                54817            +0.0%
  comp_lab_zift               340462            +0.0%
       compress                48053            +0.0%
      compress2              1255073            +0.0%
    constraints             29392877            +0.0%
   cryptarithm1                28912            +0.0%
   cryptarithm2                24037            +0.0%
            cse                27070            +0.0%
   digits-of-e1                55366            +0.0%
   digits-of-e2                71875            +0.0%
          eliza                17008            +0.0%
          event              1233467            +0.0%
    exact-reals                36671            +0.0%
         exp3_8                54904            +0.0%
         expert                11375            +0.0%
 fannkuch-redux                23668            +0.0%
          fasta                31636            +0.0%
            fem                45274            +0.0%
            fft               225842            +0.0%
           fft2                74748            +0.0%
       fibheaps                63239            +0.0%
           fish                27467            +0.0%
          fluid                29965            +0.0%
         fulsom               762588            +0.0%
         gamteb                64654            +0.0%
            gcd                24043            +0.0%
    gen_regexps                 8774            +0.0%
         genfft                54678            +0.0%
             gg                50828            +0.0%
           grep                 7183            +0.1%
         hidden                51514            +0.0%
            hpg                63821            +0.0%
            ida                55080            +0.0%
          infer               227304            +0.0%
        integer                23791            +0.0%
      integrate              2966257            +0.0%
   k-nucleotide             34268668            +0.0%
          kahan                24363            +0.0%
        knights                24039            +0.0%
         lambda              8703676            +0.0%
     last-piece                55487            +0.0%
           lcss              4181775            +0.0%
           life                54932            +0.0%
           lift                19049            +0.0%
         linear              6049936            -0.0%
      listcompr                24751            +0.0%
       listcopy                24656            +0.0%
       maillist                35913            +0.0%
         mandel                37795            +0.0%
        mandel2                20782            +0.0%
           mate                55596            +0.0%
        minimax                23996            +0.0%
        mkhprog                24450            +0.0%
     multiplier                26437            +0.0%
         n-body                 8524            +0.0%
       nucleic2                32475            +0.0%
           para                55276            +0.0%
      paraffins              2729504            -0.0%
         parser                69172            +0.0%
        parstof                33221            +0.0%
            pic                43059            +0.0%
       pidigits                71496            +0.0%
          power              1433177            +0.0%
         pretty                 8570            +0.0%
         primes                70645            +0.0%
      primetest                24424            +0.0%
         prolog                24537            +0.0%
         puzzle                54758            +0.0%
         queens                23663            +0.0%
        reptile                52422            +0.0%
reverse-complem               583462            +0.0%
        rewrite                24799            +0.0%
           rfib                 8053            +0.1%
            rsa                26491            +0.0%
            scc                 7232            +0.1%
          sched                28295            +0.0%
            scs               129179            +0.0%
         simple              3682347            +0.0%
          solid                71870            +0.0%
        sorting                25730            +0.0%
  spectral-norm                 9391            +0.0%
         sphere                24933            +0.0%
         symalg                29265            +0.0%
            tak                 7371            +0.1%
      transform                54865            +0.0%
       treejoin              3143924            +0.0%
      typecheck                24826            +0.0%
        veritas                25271            +0.0%
           wang               944153            +0.0%
      wave4main               993864            +0.0%
   wheel-sieve1               383794            +0.0%
   wheel-sieve2              1938875            +0.0%
           x2n1                12293            +0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            +0.0%

Total Memory in use

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------
             CS              2097152             0.0%
            CSD              2097152             0.0%
             FS              2097152             0.0%
              S            405798912             0.0%
             VS             87031808             0.0%
            VSD              2097152             0.0%
            VSM              2097152             0.0%
           anna              4194304             0.0%
           ansi              2097152             0.0%
           atom              3145728             0.0%
         awards              2097152             0.0%
         banner              2097152             0.0%
     bernouilli              3145728             0.0%
   binary-trees             26214400             0.0%
          boyer              3145728             0.0%
         boyer2              2097152             0.0%
           bspt              2097152             0.0%
       calendar              2097152             0.0%
       cichelli              7340032             0.0%
        circsim             75497472             0.0%
       clausify              3145728             0.0%
  comp_lab_zift              9437184             0.0%
       compress              3145728             0.0%
      compress2             26214400             0.0%
    constraints            135266304             0.0%
   cryptarithm1              2097152             0.0%
   cryptarithm2              2097152             0.0%
            cse              2097152             0.0%
   digits-of-e1              3145728             0.0%
   digits-of-e2              4194304             0.0%
          eliza              2097152             0.0%
          event             22020096             0.0%
    exact-reals              2097152             0.0%
         exp3_8              3145728             0.0%
         expert              2097152             0.0%
 fannkuch-redux              2097152             0.0%
          fasta              2097152             0.0%
            fem              3145728             0.0%
            fft              9437184             0.0%
           fft2              5242880             0.0%
       fibheaps              4194304             0.0%
           fish              2097152             0.0%
          fluid              2097152             0.0%
         fulsom             10485760             0.0%
         gamteb              4194304             0.0%
            gcd              2097152             0.0%
    gen_regexps              2097152             0.0%
         genfft              3145728             0.0%
             gg              3145728             0.0%
           grep              2097152             0.0%
         hidden              3145728             0.0%
            hpg              4194304             0.0%
            ida              3145728             0.0%
          infer             11534336             0.0%
        integer              2097152             0.0%
      integrate            100663296             0.0%
   k-nucleotide             71303168             0.0%
          kahan              2097152             0.0%
        knights              2097152             0.0%
         lambda             82837504             0.0%
     last-piece              3145728             0.0%
           lcss             49283072             0.0%
           life              3145728             0.0%
           lift              2097152             0.0%
         linear             13631488             0.0%
      listcompr              2097152             0.0%
       listcopy              2097152             0.0%
       maillist              6291456             0.0%
         mandel              3145728             0.0%
        mandel2              2097152             0.0%
           mate              3145728             0.0%
        minimax              2097152             0.0%
        mkhprog              2097152             0.0%
     multiplier              2097152             0.0%
         n-body              2097152             0.0%
       nucleic2              2097152             0.0%
           para              3145728             0.0%
      paraffins             42991616             0.0%
         parser              4194304             0.0%
        parstof              2097152             0.0%
            pic              3145728             0.0%
       pidigits              4194304             0.0%
          power             11534336             0.0%
         pretty              2097152             0.0%
         primes              4194304             0.0%
      primetest              2097152             0.0%
         prolog              2097152             0.0%
         puzzle              3145728             0.0%
         queens              2097152             0.0%
        reptile              3145728             0.0%
reverse-complem              2097152             0.0%
        rewrite              2097152             0.0%
           rfib              2097152             0.0%
            rsa              2097152             0.0%
            scc              2097152             0.0%
          sched              2097152             0.0%
            scs              6291456             0.0%
         simple             28311552             0.0%
          solid              4194304             0.0%
        sorting              2097152             0.0%
  spectral-norm              2097152             0.0%
         sphere              2097152             0.0%
         symalg              2097152             0.0%
            tak              2097152             0.0%
      transform              3145728             0.0%
       treejoin             29360128             0.0%
      typecheck              2097152             0.0%
        veritas              2097152             0.0%
           wang             19922944             0.0%
      wave4main             14680064             0.0%
   wheel-sieve1             14680064             0.0%
   wheel-sieve2             42991616             0.0%
           x2n1              2097152             0.0%
        -1 s.d.                -----            -0.0%
        +1 s.d.                -----            +0.0%
        Average                -----            -0.0%
Module Sizes

-------------------------------------------------------------------------------
        Program     base-2017-11-04- and-or-2017-11-0
-------------------------------------------------------------------------------

CS
       EffBench                 4835             0.0%
           Main                 1234             0.0%

CSD
       EffBench                 3016             0.0%
           Main                  867             0.0%

FS
       EffBench                 4919             0.0%
           Main                 1378             0.0%

S
           Main                 1049             0.0%

VS
       EffBench                 5539             0.0%
           Main                 2074             0.0%

VSD
       EffBench                 2022             0.0%
           Main                  899             0.0%

VSM
       EffBench                 8127             0.0%
           Main                 1611             0.0%

anna
       AbsConc3                35647             0.0%
  AbstractEval2                 7623             0.0%
   AbstractMisc                13698             0.0%
  AbstractVals2                41507             0.0%
          Apply                 8420             0.0%
    BarakiConc3                20947             0.0%
     BarakiMeet                14099             0.0%
       BaseDefs               127524             0.0%
   Constructors                26366             0.0%
     Dependancy                35268             0.0%
     DomainExpr                12714             0.0%
    EtaAbstract                10250             0.0%
FrontierDATAFN2                21398             0.0%
FrontierGENERIC                22023             0.0%
  FrontierMisc2                 9358             0.0%
        Inverse                20134             0.0%
    LambdaLift5                54820             0.0%
           Main                22813             0.0%
    MakeDomains                 6396             0.0%
        Monster                 4943             0.0%
        MyUtils                11968             0.0%
        Parser2                64913             0.0%
    PrettyPrint                15746             0.0%
   PrintResults                20141             0.0%
      ReadTable                21224             0.0%
       Simplify                 9530             0.0%
 SmallerLattice                56412             0.0%
      StrictAn6                78805             0.0%
 SuccsAndPreds2                40401             0.0%
    TExpr2DExpr                11089             0.0%
     TypeCheck5                82127             0.0%
          Utils                35242             0.0%

ansi
           Main                12400             0.0%

atom
           Main                11854             0.0%

awards
           Main                12113             0.0%
          QSort                 2813             0.0%

banner
           Main                28058             0.0%

bernouilli
           Main                 9771             0.0%

binary-trees
           Main                11718             0.0%

boyer
           Main                35706             0.0%

boyer2
        Checker                 4085             0.0%
    Lisplikefns                22302             0.0%
           Main                 6074             0.0%
     Rewritefns                10206             0.0%
   Rulebasetext                22746             0.0%

bspt
           BSPT                28597             0.0%
         Euclid                49479             0.0%
      EuclidGMS                14895             0.0%
        GeomNum                 9890             0.0%
           Init                21034             0.0%
          Input                37980             0.0%
      Interface                 7987             0.0%
      Interpret                 6091             0.0%
        Libfuns                  158             0.0%
         MGRlib                 7560             0.0%
           Main                  535             0.0%
          Merge                27750             0.0%
         Params                 6610             0.0%
           Prog                 1259             0.0%
      Rationals                20717             0.0%
         Render                 6866             0.0%
         Stdlib                 4875             0.0%

calendar
           Main                19614             0.0%

cichelli
          Auxil                16133             0.0%
       Interval                  126             0.0%
            Key                 3548             0.0%
           Main                  463             0.0%
           Prog                16054             0.0%

circsim
           Main                64624             0.0%

clausify
           Main                27885             0.0%

comp_lab_zift
           Main                82703             0.0%

compress
        BinConv                 5120             0.0%
        BinTest                  930             0.0%
         Decode                19709             0.0%
       Defaults                  338             0.0%
         Encode                19775             0.0%
           Main                  775             0.0%
        PTTrees                 2054             0.0%
     Uncompress                  533             0.0%

compress2
         Encode                79201             0.0%
           Main                 1347             0.0%
  WriteRoutines                11687             0.0%

constraints
           Main                36895             0.0%

cryptarithm1
           Main                 4806             0.0%

cryptarithm2
           Main                27527             0.0%

cse
           Main                28525             0.0%
     StateMonad                 4150             0.0%

digits-of-e1
           Main                 6167             0.0%

digits-of-e2
           Main                 7556             0.0%

eliza
           Main                44743             0.0%

event
           Main                23061             0.0%

exact-reals
            Era               127945             0.0%

exp3_8
           Main                 7911             0.0%

expert
      Knowledge                14329             0.0%
           Main                 8842             0.0%
          Match                 4249             0.0%
         Result                 2069             0.0%
         Search                12044             0.0%
          Table                19159             0.0%

fannkuch-redux
           Main                 9372             0.0%

fasta
           Main                 9128             0.0%

fem
Assemble_loadve                 2530             0.0%
Assemble_stiffn                 7369             0.0%
         Basics                 2120             0.0%
   DB_interface                11825             0.0%
       Database                 6026             0.0%
   Displacement                 4702             0.0%
      Elemforce                 2539             0.0%
       Elemstif                 6486             0.0%
           Main                 1447             0.0%
         Matrix                23873             0.0%
   Pre_assemble                 4826             0.0%
    PrintSource                11521             0.0%
  Printuvwforce                 5049             0.0%
     VBlldecomp                14283             0.0%
       VBmatrix                15108             0.0%
         Vector                 9613             0.0%

fft
           Main                22841             0.0%

fft2
Complex_Vectors                 3282             0.0%
